Community Area Number,suburb,pop,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,CRIMES,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw,11th Draw,3 Minute,5 Minute,7 Minute,10 Minute,15 Minute,20 Minute,importance,avg draws,avg minute
41,Hyde Park,25681,1.5,18.4,8.4,4.3,26.2,39056,14,1766,8.901904762,11.0752381,13.83428571,13.32809524,11.92666667,11.11285714,10.83142857,10.99714286,10.18809524,9.21952381,4.364761905,4.78,1.412380952,0.815714286,0.77,-0.174285714,-1,0.615245714,10.52545455,1.320761905
42,Woodlawn,25983,2.9,30.7,23.4,16.5,36.1,18672,58,3631,4.6,6.298888889,7.411111111,6.946666667,8.674444444,9.874444444,13.66777778,10.18444444,9.95,10.18,4.872222222,5.532222222,1.815555556,0.766666667,0.69,-0.208888889,-1,0.622232222,8.423636364,1.519111111
43,South Shore,49767,2.8,31.1,20,14,35.7,19398,55,8224,50.802,11.116,12.636,7.748,16.2,14.866,13.71,13.716,13.008,11.992,4.472,5.57,0.442,-0.628,-0.638,-1,-1,0.600002,15.47872727,0.5492
45,Avalon Park,10185,1.4,17.2,21.1,10.6,39.3,24454,41,1316,7.376956522,6.421304348,7.62,9.071304348,8.896521739,10.08608696,11.32913043,12.26173913,13.18652174,13.70217391,7.234347826,5.471304348,1.415217391,0.848695652,0.740434783,-0.535652174,-1,0.602615217,9.744189723,1.388
46,South Chicago,31198,4.7,29.8,19.7,26.6,41.1,16579,75,4805,5.853333333,8.803333333,8.823333333,8.213333333,7.943333333,6.046666667,5.236666667,4.283333333,3.786666667,3.4,1.536666667,2.043333333,1.913333333,1.82,1.363333333,-0.666666667,-1,0.62,5.811515152,1.094666667
47,Burnside,2916,6.8,33,18.6,19.3,42.7,12515,79,401,1.895,2.43,2.83,3.795,4.26,5.2,5.65,5.25,5.15,5.35,4.9,2.205,0.36,0.25,0.25,-1,-1,0.62,4.246363636,0.213
48,Calumet Heights,13812,2.1,11.5,20,11,44,28887,38,1421,12.1344,8.1304,7.8352,8.8824,9.9552,10.6664,13.0148,15.86,16.258,16.6076,6.904,7.0836,2.9296,1.246,0.9436,0.218,-1,0.6200056,11.47712727,2.28416
50,Pullman,7325,1.5,21.6,22.8,13.1,38.6,20588,51,1213,18.75,35.226,31.25,17.758,16.9,15.534,15.098,14.184,13.196,13.48,10.44,8.594,7.914,7.606,7.318,0.62,-1,0.580008,18.34690909,6.2104
51,South Deering,15109,4,29.2,16.3,21,39.5,14685,65,1890,7.641176471,10.20941176,10.93941176,11.47823529,13.17176471,16.70117647,16.09117647,15.04823529,14.52941176,14.76352941,4.477647059,5.194117647,1.765294118,0.962941176,0.535294118,-0.357647059,-1,0.620001765,12.27737968,1.42
53,West Pullman,29651,3.3,25.9,19.4,20.5,42.1,16563,62,3898,6.296153846,6.692307692,7.512307692,8.426153846,8.948461538,12.46153846,21.40692308,14.42538462,15.13153846,14.75615385,6.884615385,5.488461538,3.027692308,0.872307692,0.729230769,-0.15,-1,0.62,11.1765035,1.793538462
54,Riverdale,6482,5.8,56.5,34.6,27.5,51.5,8201,98,1278,6.32,6.85,7.03,7.24,7.32,6.98,7.12,7.63,7.81,11.3,23,12,-1,-1,-1,-1,-1,0.62,8.963636364,1.4
55,Hegewisch,9426,3.3,17.1,9.6,19.2,42.9,22677,44,586,1.7,2.7,2.5,2.5,5.2,7.7,6.2,4.7,1.8,1.3,1,0.89,0.84,0.91,0.87,-1,-1,0.62,3.390909091,0.302
56,Garfield Ridge,34513,2.6,8.8,11.3,19.3,38.1,26353,32,2115,8.299032258,6.446451613,6.854193548,7.507096774,8.691290323,9.837741935,10.68354839,11.90290323,12.36935484,12.69935484,10.12419355,4.974193548,0.548064516,0.372903226,0.485806452,-0.525806452,-1,0.63613,9.583196481,0.971032258
58,Brighton Park,45368,14.4,23.6,13.9,45.1,39.3,13089,84,2639,12.26090909,9.394545455,9.340909091,11.50636364,13.07363636,13.40909091,12.24909091,12.11909091,12.07727273,11.36727273,7.192727273,3.842727273,2.202727273,0.858181818,0.692727273,-1,-1,0.62001,11.27190083,1.119272727
59,McKinley Park,15612,7.2,18.7,13.4,32.9,35.6,16954,61,1044,5.772368421,7.132631579,7.146315789,7.730789474,8.108684211,9.894473684,12.16236842,12.56105263,11.33473684,11.59052632,8.979736842,6.795263158,0.835789474,0.293421053,0.223421053,-0.775,-1,0.620008947,9.310334928,1.274578947
60,Bridgeport,31977,4.5,18.9,13.7,22.2,31.3,22694,43,1698,9.112307692,11.12307692,11.20615385,11.05846154,11.07076923,12.01,12.97307692,12.3,10.71,9.621538462,3.589230769,6.713076923,1.931538462,1.486923077,1.391538462,0.015384615,-1,0.612307692,10.43405594,2.107692308
61,New City,44377,11.9,29,23,41.5,38.9,12765,91,4948,6.123636364,6.558181818,7.454545455,10.23909091,11.64909091,12.15,11.93272727,11.25090909,12.69818182,12.83272727,11.99363636,4.931818182,-0.05,-0.088181818,-0.14,-1,-1,0.620002727,10.4438843,0.530727273
63,Gage Park,39894,15.8,23.4,18.2,51.5,38.8,12171,93,2372,22.11571429,7.538571429,10.40714286,15.01285714,13.06714286,13.42714286,13.33857143,13.97428571,14.71,14.56,10.56714286,4.69,2.207142857,2.175714286,2.24,-1,-1,0.62001,13.51987013,1.862571429
64,Clearing,21139,2.7,8.9,9.5,18.8,37.6,25113,29,970,4.265625,5.546875,6.495625,6.678125,6.86875,7.524375,8.548125,9.236875,9.16375,9.288125,6.97625,3.9175,1.1575,0.579375,0.411875,-0.764375,-1,0.620000625,7.326590909,0.860375
65,West Lawn,33355,5.8,14.9,9.6,33.6,39.6,16907,56,2146,5.163333333,5.586666667,8.51,10.07333333,10.86333333,11.84666667,15.12,19.27666667,19.39,18.68666667,12.44,3.963333333,-1,-1,-1,-1,-1,0.62001,12.45060606,-0.207333333
66,Chicago Lawn,55628,7.6,27.9,17.1,31.2,40.6,13231,80,5859,13.05,13,17.05,15.85,15.15,16.4,15.85,15.35,15.2,14.75,2.615,9.215,7,2.35,1.55,1.45,-1,0.62,14.02409091,4.113
67,West Englewood,35505,4.8,34.4,35.9,26.3,40.7,11317,89,7014,7.67,7.382,8.906,11.03,11.388,10.398,9.45,8.204,7.754,8.338,3.986,4.96,1.536,1.058,0.976,0.38,-1,0.52001,8.591454545,1.582
68,Englewood,30654,3.8,46.6,28,28.5,42.5,11888,94,6312,6.52375,6.740625,7.758125,7.39375,7.825625,8.331875,8.9,8.716875,8.821875,9.06625,6.06,2.98,2.539375,2.3775,1.948125,-0.85,-1,0.5887625,7.830795455,1.599
70,Ashburn,41081,4,10.4,11.7,17.7,36.9,23482,37,2745,9.272777778,9.558333333,10.40833333,20.95222222,9.595,11.55055556,13.77611111,13.40888889,12.45277778,11.93333333,5.427222222,3.689444444,0.550555556,0.742222222,-0.119444444,-0.791666667,-1,0.620002778,11.66686869,0.614222222
71,Auburn Gresham,48743,4,27.6,28.3,18.5,41.9,15528,74,7630,10.95833333,11.36833333,10.10277778,10.02611111,10.84388889,11.96388889,13.26777778,12.92611111,12.04833333,12.67222222,5.196666667,4.205,1.034444444,0.133333333,0.088333333,-0.688888889,-1,0.620005,11.0340404,0.754444444
72,Beverly,20034,0.9,5.1,8,3.7,40.5,39523,12,992,13.577,8.0685,8,10.527,9.317,11.5875,13.7995,16.63,14.652,15.4795,9.684,6.0265,2.031,1.296,1.1595,-1,-1,0.620009,11.93836364,1.7026
75,Morgan Park,22544,0.8,13.2,15,10.8,40.3,27149,30,2010,8.399090909,9.510909091,10.19363636,10.85454545,12.03909091,13.07909091,13.82272727,14.85727273,13.83909091,13.18909091,11.40545455,5.029090909,1.611818182,1.488181818,1.28,-1,-1,0.620000909,11.92636364,1.481818182
77,Edgewater,56521,4.1,18.2,9.2,9.7,23.8,33385,19,2390,8.2355,14.03675,14.2435,15.11625,14.698,15.45125,16.1225,16.874,16.41525,15.2765,9.80075,5.98275,1.36125,0.69425,0.5535,-0.9375,-1,0.6130005,14.20638636,1.33085
