"The results listed on this page are from residential homes in Chicago that have requested to have their water tested for lead. The results are anonymized to the block level, so the complete address of each home is not posted. In cases where a sample tests over 15 parts per billion (the action limit set by the EPA), the Department of Water Management will contact the homeowner to discuss the results and schedule a time to resample the water and inspect the home’s plumbing and electrical wiring to better evaluate possible causes.",,,,,,,,,,,,,,,,,,
Follow-Up Sequential Sampling,,Sequential Draws,,,,,,,,,,,Timed,,,,,
Date Sampled,Address,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw,11th Draw,3 Minute,5 Minute,7 Minute,10 Minute,15 Minute,20 Minute
9/3/2019,108XX S Prospect Ave,2.76,3.46,4.1,4.22,4.26,4.61,4.85,4.78,4.89,4.72,6.47,3.6,3.12,3.3,3.14,,
5/28/2021,108XX S Vernon Ave,8.94,7.45,6.18,6.24,6.29,6.36,7.64,11.40,14.80,16.80,,2.89,,,,,
3/10/2020,109XX S Ewing Ave,3.77,3.18,3.43,3.33,3.16,3.12,3.05,3.04,2.85,3.13,3.01,1.39,,,,,
1/24/2020,109XX S Lawndale Ave,2.36,3.32,6.14,6.93,15.00,11.10,9.82,12.50,11.60,13.30,11.00,2.17,,,,,
6/24/2021,109XX S Morgan St,8.12,9.84,10.00,9.57,6.46,6.97,6.92,5.50,6.02,7.20,,7.05,6.40,2.38,2.44,2.05,
9/18/2019,109XX S Peoria St,5.63,6.92,7.66,9.01,9.90,11.10,13.20,13.30,13.10,12.80,13.30,11.00,7.01,6.20,5.91,,
11/5/2019,10XX N Central Park Ave,3.22,1.54,1.44,1.55,1.59,1.55,1.37,1.32,1.19,1.08,0.822,0.85,,,,,
2/7/2020,10XX N Damen Ave,5.45,11.10,15.50,15.50,14.50,13.60,12.00,11.10,9.09,7.01,2.20,1.59,,,,,
4/19/2019,10XX N Marshfield ,18.90,60.80,6.63,4.86,4.47,4.44,3.91,4.04,3.74,3.56,3.75,3.37,,,,,
10/9/2019,10XX N Massasoit Ave,10.20,5.95,9.20,9.83,6.63,6.30,5.50,5.03,4.69,4.92,4.41,2.80,,,,,
11/14/2019,10XX N Spaulding ,8.39,6.07,6.79,6.97,7.32,9.59,9.29,9.7,13.1,12.3,4.42,2.94,,,,,
9/1/2017,10XX W 18Th St,<1,<1,1.11,1.22,<1,<1,1.06,1.04,1.05,1.09,1.79,2.64,,,,,
7/28/2017,10XX W Dickens Ave,11.80,12.10,10.40,14.2,17.40,14.60,10.70,16.50,21.30,16.00,11.7,3.56,,,,,
10/5/2016,110XX S Central Park Ave,4.45,2.79,2.99,3.31,6.38,7.29,8.03,8.08,5.82,4.4,11.2,1.87,,,,,
1/21/2020,110XX S Eberhart Ave,5.24,5.64,5.85,5.82,5.71,5.88,6.04,6.58,6.32,5.57,1.15,1.06,,,,,
11/1/2021,110XX S Homewood Ave,5.82,4.42,4.33,4.41,5.69,6.97,12.70,15.90,11.00,9.76,10.90,11.50,9.55,9.07,7.04,,
11/12/2019,110XX S Millard ,4.85,9.89,9.99,9.2,8.04,5.96,4.7,4.45,4.24,3.54,1.79,1.63,1.58,1.54,1.49,,
2/2/2022,110XX S Sangamon St,1.20,3.10,7.90,12.00,16.00,28.00,41.00,44.00,53.00,44.00,35.00,5.70,2.40,2.10,1.90,,
9/3/2021,111XX S Avenue B ,22.00,21.00,23.00,21.00,29.00,33.00,35.00,37.00,36.00,37.00,,36.00,33.00,14.00,5.90,,
8/24/2021,111XX S Avenue E ,1.85,1.15,<1,1.34,2.80,5.40,4.62,4.69,4.78,4.77,<1,<1,,,,,
4/13/2019,111XX S Avenue H ,3.61,4.35,3.79,3.24,4.64,4.16,3.57,3.83,5.73,7.61,10.2,2.25,,,,,
11/5/2016,111XX S Drake Ave,2.84,4.12,6.4,8.39,12.5,12.8,13.6,15,13.2,8.15,1.68,1.25,,,,,
12/2/2016,111XX S Hoyne Ave,6.08,6.18,6.28,11,6.9,6.36,8.04,7.44,7.68,12.4,6.44,2.7,,,,,
3/4/2022,111XX S Loomis St,2.90,4.90,4.90,7.40,7.10,4.20,3.20,2.70,3.10,4.60,5.50,6.10,1.20,0.89,0.82,,
7/15/2019,111XX S Maplewood ,4.86,4.02,5.9,4.49,4.88,4.78,8.68,19.3,19.9,19,18.9,3.34,,,,,
7/17/2019,111XX S Washtenaw ,16.70,28.80,34.1,36.3,35.6,30.9,30.2,31.1,31.2,32.4,34.3,37.4,24.8,13.3,10.9,,
12/5/2019,112XX S Avenue H,7.04,5.26,4.81,7.11,13.00,19.30,18.90,17.30,15.30,12.90,5.33,1.10,1.03,0.91,0.88,,
6/29/2021,112XX S Emerald Ave,7.40,5.70,5.20,6.00,6.20,7.60,15.00,17.00,15.00,14.00,,13.00,5.00,4.50,4.30,4.00,
7/15/2019,112XX S Fairfield ,6.59,6.65,6.34,7.47,12,15.3,13.9,14.5,15.9,14,3.48,3.26,3.23,3.17,2.98,,
6/21/2021,112XX S Forrestville Ave,14.60,25.70,21.10,16.10,16.80,12.60,15.00,14.20,13.50,10.80,,8.70,8.10,8.05,7.53,7.10,
6/4/2021,112XX S Normal Ave,6.50,8.90,9.80,6.80,8.50,6.30,7.90,9.10,13.00,19.00,,4.90,4.30,4.10,4.20,4.10,
6/4/2021,112XX S Parnell Ave,8.10,6.70,6.40,7.20,6.20,11.00,8.60,6.20,6.00,5.60,,7.10,3.70,,,,
10/29/2019,112XX S Peoria ,4.4,4.9,7.45,7.5,4.93,3.95,5.19,7.32,7.46,7.31,7.24,2.4,,,,,
7/20/2018,112XX S Spaulding Ave,4.61,5.13,5.65,6.89,8.71,8.53,7.37,7.24,15.4,21.7,23.9,4.64,,,,,
6/17/2021,112XX S St Lawrence Ave,15.70,17.60,15.90,14.60,13.50,12.30,11.70,11.80,11.60,10.80,,9.85,9.51,9.00,8.71,8.42,
10/23/2019,113XX S Aberdeen ,8.37,10.3,13.5,15.4,11.1,10.9,10.1,8.47,6.89,5.37,5.51,3.09,,,,,
7/18/2019,113XX S Avenue L ,11.00,12.70,11.7,17.5,21.9,27,25.5,25.3,26.6,25.6,18.4,5.35,,,,,
1/11/2020,113XX S Cottage Grove Ave,10.80,13.00,11.70,10.20,8.72,8.24,7.46,6.41,4.97,5.38,3.70,3.23,3.10,2.97,2.85,,
8/9/2021,113XX S Hale Ave,4.59,7.25,5.20,4.21,3.55,2.70,12.80,26.70,17.40,12.10,,1.82,,,,,
7/27/2021,113XX S Homewood Ave,21.90,35.50,40.80,42.10,41.30,37.70,33.60,32.10,27.40,22.60,14.40,9.18,8.04,7.77,7.62,,
6/10/2021,113XX S Loomis St,14.00,21.00,30.00,20.00,25.00,24.00,21.00,21.00,18.00,15.00,,48.00,5.80,5.00,4.60,4.20,
9/1/2021,113XX S Lothair Ave,10.00,10.00,12.00,17.00,22.00,25.00,24.00,24.00,23.00,22.00,23.00,9.10,,,,,
6/23/2021,113XX S St Lawrence Ave,31.70,12.90,49.40,27.00,21.40,16.90,18.70,13.10,17.00,22.70,,19.30,8.35,8.16,7.29,7.29,
3/18/2020,113XX S St Lawrence Ave,69.30,24.30,10.50,6.80,6.26,8.94,8.97,8.43,7.74,7.26,5.34,3.03,,,,,
6/25/2021,113XX S St Lawrence Ave,10.30,20.80,25.20,21.60,13.30,12.20,11.00,11.10,10.30,9.51,,8.64,8.39,8.44,7.64,7.20,
8/6/2019,113XX S Talman ,6.37,6.17,6.43,6.24,6.36,8.88,24.2,33.7,36.1,37.1,17,5.13,,,,,
10/30/2019,113XX S Talman ,8.81,7,7.36,7.25,6.87,6.76,7.54,12.7,20.1,19,18,4.3,,,,,
2/18/2020,113XX S Trumbull Ave,5.19,5.74,5.47,5.62,5.96,6.00,6.77,6.91,6.74,5.98,2.11,1.17,,,,,
6/7/2021,114XX S Ada St,22.10,23.40,23.00,22.60,24.90,26.10,28.80,27.60,25.70,21.70,,17.20,5.24,3.66,3.27,3.02,
2/10/2020,114XX S Calumet Ave,19.50,2.23,1.98,1.90,1.75,1.55,1.52,1.36,1.33,1.33,0.91,0.86,,,,,
1/27/2020,114XX S Forrestville Ave,23.50,50.90,70.30,24.60,22.20,22.00,17.50,14.60,12.30,14.20,11.00,6.47,5.87,5.49,5.07,,
