number,name,population,income,requests,latinos,blacks,white,asian,other,1990 Life Expectancy,1990 Lower 95% CI,1990 Upper 95% CI,2000 Life Expectancy,2000 Lower 95% CI,2000 Upper 95% CI,2010 Life Expectancy,2010 Lower 95% CI,2010 Upper 95% CI
18,Montclare,13426,47460,4659.6156710868,0.54,0.045,0.375,0.028,0.012,77.1,75.1,79.1,79.3,77.5,81.1,79.6,77.9,81.4
19,Belmont Cragin,78743,42842,5026.6055395406,0.789,0.032,0.152,0.02,0.008,73.7,72.8,74.7,76.4,75.6,77.3,79.5,78.7,80.4
20,Hermosa,25010,42418,4260.295881647,0.874,0.03,0.076,0.012,0.007,74.0,72.4,75.6,77.8,76.1,79.4,80.5,78.9,82.0
21,Avondale,39262,46519,6428.3531149694,0.644,0.025,0.284,0.03,0.016,74.0,72.9,75.2,77.8,76.7,79.0,79.8,78.7,80.9
22,Logan Square,72791,49610,6154.1948867358,0.512,0.054,0.392,0.025,0.017,71.6,70.8,72.4,75.1,74.2,75.9,80.3,79.4,81.3
23,Humboldt Park,56323,29605,4942.208334072,0.533,0.409,0.044,0.004,0.009,68.4,67.3,69.5,71.2,70.2,72.3,74.5,73.5,75.6
24,West Town,82236,60720,5392.1640157555,0.291,0.078,0.572,0.038,0.022,70.5,69.7,71.4,75.8,74.9,76.7,79.5,78.6,80.5
25,Austin,98514,32358,5008.019164789,0.089,0.851,0.044,0.006,0.01,66.0,65.2,66.8,69.6,68.8,70.3,71.9,71.1,72.6
26,West Garfield Park,18001,23033,6341.869896118,0.019,0.962,0.007,0,0.011,63.2,61.3,65.0,66.8,65.0,68.5,68.8,66.9,70.6
27,East Garfield Park,20567,24488,5767.97782856,0.041,0.909,0.034,0.004,0.012,61.5,59.8,63.3,65.7,63.9,67.6,71.7,70.0,73.5
28,Near West Side,54881,62770,3854.1571764393,0.092,0.315,0.42,0.146,0.027,63.7,62.4,65.0,72.8,71.5,74.0,78.9,77.8,80.0
29,North Lawndale,35912,25797,5341.946981514,0.06,0.914,0.014,0.002,0.01,62.0,60.8,63.3,67.3,66.1,68.6,72.1,70.7,73.5
30,South Lawndale,79288,33593,5956.6390878842,0.826,0.131,0.039,0.001,0.004,72.7,71.7,73.6,76.8,75.9,77.8,82.2,81.2,83.2
31,Lower West Side,35769,34573,8405.6026167949,0.824,0.031,0.124,0.01,0.01,74.0,72.7,75.3,77.0,75.7,78.4,81.4,79.9,82.9
32,Loop,29283,78124,3223.0304272129,0.069,0.115,0.627,0.159,0.031,73.7,71.5,75.8,81.2,79.7,82.7,85.0,83.6,86.4
33,Near South Side,21390,75995,1719.4950911629,0.056,0.281,0.481,0.155,0.027,60.1,57.1,63.0,68.0,65.6,70.3,80.6,78.9,82.3
34,Armour Square,13391,27619,3418.7140616831,0.035,0.106,0.123,0.726,0.011,74.8,72.5,77.2,77.1,75.0,79.3,81.9,80.1,83.7
35,Douglas,18238,32805,2107.1389406728,0.025,0.726,0.099,0.127,0.022,64.8,63.4,66.2,65.6,64.2,67.1,74.1,72.6,75.7
36,Oakland,5918,20800,1704.9678945589,0.015,0.941,0.021,0.006,0.018,60.2,57.1,63.4,68.3,64.9,71.6,73.6,70.2,77.0
37,Fuller Park,2876,15086,7990.264255904,0.046,0.922,0.016,0.002,0.014,59.8,55.7,63.9,66.2,62.2,70.2,69.8,66.3,73.3
38,Grand Boulevard,21929,28040,3545.077294906,0.018,0.941,0.018,0.003,0.02,57.1,55.8,58.4,64.4,62.8,65.9,74.1,72.4,75.7
39,Kenwood,17841,39371,1861.4427442405,0.03,0.719,0.165,0.055,0.032,67.6,65.7,69.6,74.2,72.4,76.0,80.5,78.9,82.1
