CAMNT,sm001,sm002,sm003,sm004,sm005,sm008,sm009,sm010,sm011,sm012,sm013,sm016,sm017,sm018,sm019,sm020,sm024,sm025,sm026,sm027
CAMNT_0024164511,19,25,18,9,11,12,12,6,14,8,11,19,10,19,15,11,13,18,14,4
CAMNT_0024164547,84,154,54,112,155,102,95,66,53,105,155,98,88,76,59,155,102,97,54,55
CAMNT_0024164565,1220,1836,1100,1765,2118,1404,1483,1119,964,1036,2118,1971,1569,1582,1376,2118,1388,1360,1264,1075
CAMNT_0024164569,34,152,292,161,22,16,15,122,82,372,22,31,38,111,290,22,21,25,122,222
CAMNT_0024164857,35,166,266,186,17,13,26,152,83,388,17,18,19,101,233,17,16,24,139,244
CAMNT_0024164873,14,16,9,24,28,33,18,23,26,20,28,35,32,29,22,28,37,39,22,16
CAMNT_0024164965,10,15,7,18,9,14,7,11,7,8,9,19,20,8,12,9,16,4,6,7
CAMNT_0024165125,8,9,11,16,9,8,4,5,10,17,9,14,2,7,7,9,6,11,6,8
CAMNT_0024165261,112,255,101,88,72,93,128,157,42,98,72,86,69,91,83,72,125,93,63,58
CAMNT_0024165433,33,17,17,38,67,67,14,26,25,13,67,43,28,15,13,67,27,29,12,7
CAMNT_0024165525,4,7,5,20,34,3,0,2,8,2,34,4,9,2,3,34,0,2,4,3
CAMNT_0024165561,24,33,22,28,31,17,22,35,14,30,31,38,25,29,23,31,13,28,11,16
CAMNT_0024165569,113,129,81,93,129,162,100,121,56,91,129,147,119,77,112,129,72,185,85,69
CAMNT_0024165607,10,10,9,10,7,18,4,11,9,13,7,13,14,15,15,7,13,12,9,6
CAMNT_0024165645,11,4,15,12,8,4,3,15,4,12,8,7,16,7,17,8,7,9,5,10
CAMNT_0024165757,17,18,12,14,11,7,13,14,15,5,11,7,18,13,7,11,13,14,16,6
CAMNT_0024165777,25,12,17,16,10,15,13,9,16,7,10,18,11,11,11,10,12,23,12,21
CAMNT_0024165799,22,27,15,16,22,20,15,15,26,23,22,25,14,20,14,22,21,28,37,15
CAMNT_0024165901,11,24,10,5,4,17,11,18,3,7,4,13,8,7,4,4,11,5,11,7
CAMNT_0024165903,7,14,9,13,13,11,5,11,4,17,13,17,9,17,11,13,7,2,4,10
CAMNT_0024165905,5,26,21,14,10,13,5,13,21,18,10,15,15,12,32,10,4,16,13,11
CAMNT_0024165941,18,37,28,20,3,4,17,46,8,27,3,15,18,26,25,3,6,19,27,13
CAMNT_0024166005,37,60,44,55,36,48,54,77,33,83,36,74,67,70,96,36,55,61,95,58
CAMNT_0024166063,407,482,485,554,438,465,416,504,349,447,438,662,458,494,487,438,502,520,508,390
CAMNT_0024166263,6,8,16,18,7,9,14,4,12,10,7,10,10,7,11,7,13,13,13,14
CAMNT_0024166287,8,12,6,11,9,15,10,7,5,11,9,10,14,9,19,9,7,10,6,10
CAMNT_0024166297,311,514,234,263,207,286,296,467,110,262,207,264,252,276,226,207,264,255,180,109
CAMNT_0024166337,97,162,157,170,141,116,104,170,70,149,141,148,92,150,183,141,102,119,122,131
CAMNT_0024166553,45,101,57,104,71,80,80,54,39,50,71,130,110,83,95,71,67,64,92,41
CAMNT_0024166571,25,27,26,36,27,14,21,29,21,35,27,25,28,37,26,27,24,27,30,19
CAMNT_0024166747,10,13,9,16,7,18,13,14,8,3,7,17,14,8,9,7,12,9,6,5
CAMNT_0024166859,43,50,29,57,54,63,28,51,34,35,54,64,31,40,38,54,43,49,37,27
CAMNT_0024166991,12,26,21,10,12,10,11,19,19,10,12,17,27,30,30,12,23,27,14,17
CAMNT_0024167063,41,45,20,27,29,37,27,46,23,20,29,63,34,13,54,29,43,24,16,15
CAMNT_0024167107,11,15,17,15,13,7,9,20,7,10,13,22,14,8,12,13,14,9,13,10
CAMNT_0024167221,9,11,7,12,11,15,11,12,9,9,11,18,7,9,10,11,12,10,16,5
CAMNT_0024167351,6,9,12,13,6,2,19,13,2,16,6,21,6,6,16,6,13,13,17,5
CAMNT_0024167375,21,26,21,25,21,30,13,21,18,29,21,26,19,18,26,21,23,23,25,28
CAMNT_0024167421,9,14,9,11,7,10,5,10,8,11,7,16,11,12,12,7,20,7,6,8
CAMNT_0024167495,19,18,13,22,19,16,13,26,22,25,19,28,21,24,25,19,21,33,26,21
CAMNT_0024167529,11,20,5,15,8,8,6,16,5,6,8,17,12,4,7,8,17,12,12,5
CAMNT_0024167553,10,9,7,6,5,8,1,14,14,13,5,7,8,6,12,5,10,12,14,12
CAMNT_0024167669,28,24,19,41,41,56,20,30,21,26,41,38,30,34,17,41,33,24,21,8
CAMNT_0024167767,10,17,20,14,11,5,7,8,13,19,11,8,8,4,15,11,7,6,14,16
CAMNT_0024167785,6,22,27,17,5,7,6,4,4,29,5,3,8,17,32,5,3,1,18,24
CAMNT_0024167827,12,14,7,25,11,15,10,13,6,14,11,22,18,16,13,11,19,6,14,6
CAMNT_0024167857,13,5,11,6,8,5,7,7,11,8,8,15,9,12,11,8,6,18,14,2
CAMNT_0024167943,5,15,7,12,12,16,5,14,8,18,12,24,8,6,17,12,10,11,10,11
CAMNT_0024167957,22,7,10,14,12,9,2,16,7,3,12,10,12,10,12,12,6,15,10,12
CAMNT_0024168011,16,11,2,8,7,7,13,7,4,6,7,17,11,5,10,7,13,7,8,10
CAMNT_0024168039,15,21,16,28,20,10,9,10,5,16,20,29,8,9,23,20,12,21,14,8
CAMNT_0024168075,18,19,17,6,11,14,8,19,13,14,11,24,9,10,9,11,12,16,15,10
CAMNT_0024168123,6,16,5,19,28,29,13,20,6,8,28,31,27,22,9,28,9,7,14,4
CAMNT_0024168199,8,16,14,15,15,19,5,7,5,11,15,18,12,9,10,15,14,15,14,5
CAMNT_0024168281,36,52,53,49,28,46,26,14,18,21,28,70,87,95,35,28,9,45,52,29
CAMNT_0024168291,13,13,14,12,9,8,14,6,11,8,9,7,11,9,7,9,6,7,7,6
CAMNT_0024168479,33,25,18,21,20,23,24,18,14,22,20,19,19,44,33,20,34,23,27,36
CAMNT_0024168869,8,12,11,16,7,8,5,15,10,18,7,9,11,21,6,7,6,11,10,19
CAMNT_0024168949,15,21,15,46,27,7,9,18,15,22,27,7,10,7,33,27,11,12,17,10
CAMNT_0024169041,7,7,8,12,12,4,10,10,5,8,12,16,9,17,10,12,8,12,6,15
CAMNT_0024169069,80,143,184,202,81,61,62,199,97,153,81,188,107,127,93,81,43,97,148,114
CAMNT_0024169095,8,8,2,5,14,8,14,19,7,8,14,22,6,9,8,14,10,8,5,6
CAMNT_0024169099,18,35,14,16,8,12,10,10,9,12,8,14,9,13,20,8,15,9,9,10
CAMNT_0024169137,20,21,15,14,10,10,8,15,18,12,10,12,7,10,9,10,7,8,12,10
