Identity,Date Sampled,Address,Draw1,Draw2,Draw3,Draw4,Draw5,Draw6,Draw7,Draw8,Draw9,Draw10,Draw11,Minute3,Minute5,Minute7,Minute10,Minute15,Minute20
70,5/28/2021,108XX S Vernon Ave,8.94,7.45,6.18,6.24,6.29,6.36,7.64,11.4,14.8,16.8,,2.89,,,,,
71,3/10/2020,109XX S Ewing Ave,3.77,3.18,3.43,3.33,3.16,3.12,3.05,3.04,2.85,3.13,3.01,1.39,,,,,
72,1/24/2020,109XX S Lawndale Ave,2.36,3.32,6.14,6.93,15,11.1,9.82,12.5,11.6,13.3,11,2.17,,,,,
73,6/24/2021,109XX S Morgan St,8.12,9.84,10,9.57,6.46,6.97,6.92,5.5,6.02,7.2,,7.05,6.4,2.38,2.44,2.05,
74,9/18/2019,109XX S Peoria St,5.63,6.92,7.66,9.01,9.9,11.1,13.2,13.3,13.1,12.8,13.3,11,7.01,6.2,5.91,,
75,11/5/2019,10XX N Central Park Ave,3.22,1.54,1.44,1.55,1.59,1.55,1.37,1.32,1.19,1.08,0.822,0.85,,,,,
76,2/7/2020,10XX N Damen Ave,5.45,11.1,15.5,15.5,14.5,13.6,12,11.1,9.09,7.01,2.2,1.59,,,,,
77,4/19/2019,10XX N Marshfield ,18.9,60.8,6.63,4.86,4.47,4.44,3.91,4.04,3.74,3.56,3.75,3.37,,,,,
78,10/9/2019,10XX N Massasoit Ave,10.2,5.95,9.2,9.83,6.63,6.3,5.5,5.03,4.69,4.92,4.41,2.8,,,,,
79,11/14/2019,10XX N Spaulding ,8.39,6.07,6.79,6.97,7.32,9.59,9.29,9.7,13.1,12.3,4.42,2.94,,,,,
80,9/1/2017,10XX W 18Th St,0,0,1.11,1.22,0,0,1.06,1.04,1.05,1.09,1.79,2.64,,,,,
81,7/28/2017,10XX W Dickens Ave,11.8,12.1,10.4,14.2,17.4,14.6,10.7,16.5,21.3,16,11.7,3.56,,,,,
82,10/5/2016,110XX S Central Park Ave,4.45,2.79,2.99,3.31,6.38,7.29,8.03,8.08,5.82,4.4,11.2,1.87,,,,,
83,1/21/2020,110XX S Eberhart Ave,5.24,5.64,5.85,5.82,5.71,5.88,6.04,6.58,6.32,5.57,1.15,1.06,,,,,
84,11/1/2021,110XX S Homewood Ave,5.82,4.42,4.33,4.41,5.69,6.97,12.7,15.9,11,9.76,10.9,11.5,9.55,9.07,7.04,,
85,11/12/2019,110XX S Millard ,4.85,9.89,9.99,9.2,8.04,5.96,4.7,4.45,4.24,3.54,1.79,1.63,1.58,1.54,1.49,,
86,2/2/2022,110XX S Sangamon St,1.2,3.1,7.9,12,16,28,41,44,53,44,35,5.7,2.4,2.1,1.9,,
87,9/3/2021,111XX S Avenue B ,22,21,23,21,29,33,35,37,36,37,,36,33,14,5.9,,
88,8/24/2021,111XX S Avenue E ,1.85,1.15,0,1.34,2.8,5.4,4.62,4.69,4.78,4.77,0,0,,,,,
89,4/13/2019,111XX S Avenue H ,3.61,4.35,3.79,3.24,4.64,4.16,3.57,3.83,5.73,7.61,10.2,2.25,,,,,
90,11/5/2016,111XX S Drake Ave,2.84,4.12,6.4,8.39,12.5,12.8,13.6,15,13.2,8.15,1.68,1.25,,,,,
91,12/2/2016,111XX S Hoyne Ave,6.08,6.18,6.28,11,6.9,6.36,8.04,7.44,7.68,12.4,6.44,2.7,,,,,
92,3/4/2022,111XX S Loomis St,2.9,4.9,4.9,7.4,7.1,4.2,3.2,2.7,3.1,4.6,5.5,6.1,1.2,0.89,0.82,,
93,7/15/2019,111XX S Maplewood ,4.86,4.02,5.9,4.49,4.88,4.78,8.68,19.3,19.9,19,18.9,3.34,,,,,
94,7/17/2019,111XX S Washtenaw ,16.7,28.8,34.1,36.3,35.6,30.9,30.2,31.1,31.2,32.4,34.3,37.4,24.8,13.3,10.9,,
95,12/5/2019,112XX S Avenue H,7.04,5.26,4.81,7.11,13,19.3,18.9,17.3,15.3,12.9,5.33,1.1,1.03,0.91,0.88,,
96,6/29/2021,112XX S Emerald Ave,7.4,5.7,5.2,6,6.2,7.6,15,17,15,14,,13,5,4.5,4.3,4,
97,7/15/2019,112XX S Fairfield ,6.59,6.65,6.34,7.47,12,15.3,13.9,14.5,15.9,14,3.48,3.26,3.23,3.17,2.98,,
98,6/21/2021,112XX S Forrestville Ave,14.6,25.7,21.1,16.1,16.8,12.6,15,14.2,13.5,10.8,,8.7,8.1,8.05,7.53,7.1,
99,6/4/2021,112XX S Normal Ave,6.5,8.9,9.8,6.8,8.5,6.3,7.9,9.1,13,19,,4.9,4.3,4.1,4.2,4.1,
100,6/4/2021,112XX S Parnell Ave,8.1,6.7,6.4,7.2,6.2,11,8.6,6.2,6,5.6,,7.1,3.7,,,,
101,10/29/2019,112XX S Peoria ,4.4,4.9,7.45,7.5,4.93,3.95,5.19,7.32,7.46,7.31,7.24,2.4,,,,,
102,7/20/2018,112XX S Spaulding Ave,4.61,5.13,5.65,6.89,8.71,8.53,7.37,7.24,15.4,21.7,23.9,4.64,,,,,
103,6/17/2021,112XX S St Lawrence Ave,15.7,17.6,15.9,14.6,13.5,12.3,11.7,11.8,11.6,10.8,,9.85,9.51,9,8.71,8.42,
104,10/23/2019,113XX S Aberdeen ,8.37,10.3,13.5,15.4,11.1,10.9,10.1,8.47,6.89,5.37,5.51,3.09,,,,,
105,7/18/2019,113XX S Avenue L ,11,12.7,11.7,17.5,21.9,27,25.5,25.3,26.6,25.6,18.4,5.35,,,,,
106,1/11/2020,113XX S Cottage Grove Ave,10.8,13,11.7,10.2,8.72,8.24,7.46,6.41,4.97,5.38,3.7,3.23,3.1,2.97,2.85,,
107,8/9/2021,113XX S Hale Ave,4.59,7.25,5.2,4.21,3.55,2.7,12.8,26.7,17.4,12.1,,1.82,,,,,
108,7/27/2021,113XX S Homewood Ave,21.9,35.5,40.8,42.1,41.3,37.7,33.6,32.1,27.4,22.6,14.4,9.18,8.04,7.77,7.62,,
109,6/10/2021,113XX S Loomis St,14,21,30,20,25,24,21,21,18,15,,48,5.8,5,4.6,4.2,
110,9/1/2021,113XX S Lothair Ave,10,10,12,17,22,25,24,24,23,22,23,9.1,,,,,
111,6/23/2021,113XX S St Lawrence Ave,31.7,12.9,49.4,27,21.4,16.9,18.7,13.1,17,22.7,,19.3,8.35,8.16,7.29,7.29,
112,3/18/2020,113XX S St Lawrence Ave,69.3,24.3,10.5,6.8,6.26,8.94,8.97,8.43,7.74,7.26,5.34,3.03,,,,,
113,6/25/2021,113XX S St Lawrence Ave,10.3,20.8,25.2,21.6,13.3,12.2,11,11.1,10.3,9.51,,8.64,8.39,8.44,7.64,7.2,
114,8/6/2019,113XX S Talman ,6.37,6.17,6.43,6.24,6.36,8.88,24.2,33.7,36.1,37.1,17,5.13,,,,,
115,10/30/2019,113XX S Talman ,8.81,7,7.36,7.25,6.87,6.76,7.54,12.7,20.1,19,18,4.3,,,,,
116,2/18/2020,113XX S Trumbull Ave,5.19,5.74,5.47,5.62,5.96,6,6.77,6.91,6.74,5.98,2.11,1.17,,,,,
117,6/7/2021,114XX S Ada St,22.1,23.4,23,22.6,24.9,26.1,28.8,27.6,25.7,21.7,,17.2,5.24,3.66,3.27,3.02,
118,2/10/2020,114XX S Calumet Ave,19.5,2.23,1.98,1.9,1.75,1.55,1.52,1.36,1.33,1.33,0.91,0.86,,,,,
119,1/27/2020,114XX S Forrestville Ave,23.5,50.9,70.3,24.6,22.2,22,17.5,14.6,12.3,14.2,11,6.47,5.87,5.49,5.07,,
120,6/8/2021,114XX S Indiana Ave,9,11,15,21,20,21,18,19,16,16,,11,7.8,7.8,7.7,7.1,
121,11/8/2019,114XX S May,1.91,4.17,8.25,3.95,3.36,3.33,3.48,3.13,2.89,2.74,3.32,2.21,,,,,
122,6/29/2019,114XX S St Lawrence ,57.2,17.7,29.9,34.2,22.1,18,16.2,8.86,7.25,6.39,6.24,5.43,,,,,
123,11/14/2019,114XX S Wallace ,7.06,2.76,4.68,4.74,6.89,20,21,20.8,19.2,19.3,3.11,2.35,,,,,
124,9/28/2020,11544 S Sangamon St,7.83,4.22,4.23,4.01,4.04,4.02,3.72,3.66,3.84,3.54,2.89,2.1,,,,,
125,9/19/2019,115XX S Artesian Ave,4.23,2.72,2.42,2.44,2.48,2.62,2.51,2.45,2.56,2.63,2.38,1.29,,,,,
126,8/27/2019,115XX S Avenue H ,5.21,5.77,7.62,7.24,7.66,9.98,20.1,18,16.7,16.7,17.5,5.44,,,,,
127,6/9/2021,115XX S Elizabeth St,13,20,18,16,17,18,18,17,16,16,,16,9.7,6.8,6.2,5.9,
128,8/30/2019,115XX S Ewing Ave,3.6,3.73,4.56,5.06,6.64,7.98,12.5,13,13.6,14.4,4.03,2.93,,,,,
129,10/15/2021,115XX S Justine St,8.62,11.8,12.4,13.5,12.9,14.1,16.6,17.4,16.8,16.4,13.2,3.71,3.42,3.23,3.1,,
130,9/29/2021,115XX S May St,9.2,5.5,4.9,8,18,20,15,15,14,11,3.9,3.2,2.6,2.9,2.5,,
131,7/2/2019,116XX S Aberdeen ,4.41,5.28,6.78,5.93,6.41,8.2,11,11.2,14.5,13.1,10.6,4.28,,,,,
132,5/24/2021,116XX S Avenue L ,1.46,2.06,1.78,1.69,1.54,2.06,3.99,9.01,11.8,11.3,,11.2,0,,,,
133,9/4/2019,116XX S Longwood Dr,4.69,7.52,6.1,4.84,5.04,5.69,5.92,9.82,10.4,9.44,8.53,3.84,,,,,
134,10/4/2019,116XX S May St,5.02,4.14,4.1,6.13,6.46,7.22,8.75,11.8,12.4,12.3,12.6,2.76,,,,,
135,10/16/2019,116XX S May St,5.42,5.76,7.38,5.8,8.51,7.91,8.99,12.3,11,10.4,12.4,3.47,,,,,
136,5/26/2021,116XX S Parnell Ave,45,30,18,14,12,7.8,9.1,,,,,12,4.5,3.8,,3.7,
137,11/4/2016,117XX S Bell Ave,5.92,6.07,6.54,6.5,6.64,6.4,6.07,5.89,,,5.49,4.08,,,,,
138,10/29/2016,117XX S Justine St**,8.65,7.88,8.7,10.5,16,15.2,14.7,14.5,13.2,13,12.4,10.5,,,,,
139,1/21/2017,117XX S Justine St**,16.5,8.88,9.77,8.62,8.91,11.2,11.4,9.81,7.8,7.08,7.02,2.97,,,,,
140,8/16/2021,117XX S Longwood Dr,8.23,9.91,10.1,11.3,15.4,18.3,18.3,18.1,16.9,16.6,12.5,4.59,4.12,4.01,3.7,,
141,11/30/2021,117XX S Peoria St,6.3,8.37,8.48,8.9,8.21,8.44,9.27,10.5,11.1,12.3,3.66,1.47,,,,,
142,12/12/2019,118XX S Campbell Ave,5.14,5.15,6.36,8.12,12.4,12.1,10.2,11.1,12.4,12.7,12.6,12.1,9.76,3.57,2.35,,
143,11/24/2021,118XX S Maplewood Ave,4.79,2.62,1.39,5.74,0,0,0,0,0,0,0,,,,,,
144,2/25/2017,11XX E 48Th St**,38.1,55.5,25.2,30,27.8,29.5,33.4,30.5,25.7,25.3,14.8,6.86,,,,,
145,7/29/2017,11XX E 48Th St**,17.2,47.1,38.4,37.7,36.5,33.9,30.3,26.6,26.1,25.6,23.6,10,,,,,
